ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.DropSummaryPrinter,Drop `SummaryPrinter`,"Replace `SummaryPrinter` with `Plugin`, if not already present.",1,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.DropTimeoutAttribute,Drop the `timeout` attribute,"Cucumber-JVM 5.0.0 removed the `timeout` attribute from step definition and hook annotations, in favor of asserting on the duration from within the step definition itself.",3,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.FixTeluguLanguageCode,Fix the Telugu language code,"Cucumber-JVM 7.0.0 removed the incorrect ISO 639-1 code `tl` for Telugu, which is now consistently `te`.",4,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.MigrateCucumberJava8ScenarioAndStatus,Migrate `io.cucumber.java8.Scenario` and `io.cucumber.java8.Status`,"`Scenario` and `Status` are the only `io.cucumber.java8` types with an `io.cucumber.java` counterpart; the language interfaces such as `En` and the `LambdaGlue` body types have none, so renaming the package wholesale would point whatever the migration could not convert at a type that does not exist. Where such a body type does survive it also still expects the `cucumber-java8` `Scenario`, as in an anonymous `HookBody`, so leave both types be until the last of the lambda glue is gone.",3,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.MigrateScenarioWriteAndEmbed,Migrate `Scenario.write` and `Scenario.embed`,"Cucumber-JVM 6.0.0 removed `Scenario.write(String)` and `Scenario.embed(byte[], String)` along with `Scenario.embed(byte[], String, String)`, in favor of `Scenario.log(String)` and `Scenario.attach(byte[], String, String)`. The two argument `embed` emitted an attachment without a name, which `attach` expresses as a `null` name.",7,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.RegexToCucumberExpression,Replace `cucumber-java` step definition regexes with Cucumber expressions,Strip regex prefix and suffix from step annotation expressions arguments where possible.,1,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.TypeRegistryConfigurerToAnnotations,Replace `TypeRegistryConfigurer` with cucumber-java annotations,"Cucumber-JVM 7.0.0 removed `TypeRegistryConfigurer`; replace implementations with `@ParameterType`, `@DataTableType` and `@DocStringType` annotated glue methods. Classes whose `configureTypeRegistry` method cannot be converted in full are left untouched, with a `TODO` comment added above the registration that could not be converted.",1,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.UpgradeCucumber2x,Upgrade to Cucumber-JVM 2.x,Upgrade to Cucumber-JVM 2.x from any previous version.,23,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.UpgradeCucumber5x,Upgrade to Cucumber-JVM 5.x,Upgrade to Cucumber-JVM 5.x from any previous version.,63,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.UpgradeCucumber6x,Upgrade to Cucumber-JVM 6.x,Upgrade to Cucumber-JVM 6.x from any previous version.,73,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
maven,org.openrewrite.recipe:rewrite-cucumber-jvm,org.openrewrite.cucumber.jvm.UpgradeCucumber7x,Upgrade to Cucumber-JVM 7.x,Upgrade to Cucumber-JVM 7.x from any previous version.,97,Cucumber-JVM,Cucumber,Recipes for upgrading [Cucumber-JVM](https://github.com/cucumber/cucumber-jvm/).,Recipes for upgrading [Cucumber](https://cucumber.io/).
